,run,epoch,loss,train_accuracy,epoch duration,run duration,test_accuracy,total parameters,lr,batch_size,momentum,weight_decay,pretrained
0,1,1,1.4487619164657592,0.47418,460.52429819107056,463.13257002830505,0.6184,11181642,0.01,32,0.9,0.001,[False]
1,1,2,0.8638419983291626,0.69638,461.0612244606018,959.1202292442322,0.7357,11181642,0.01,32,0.9,0.001,[False]
2,1,3,0.6259395760917663,0.78278,462.7761507034302,1457.0503594875336,0.7732,11181642,0.01,32,0.9,0.001,[False]
3,1,4,0.4852083709383011,0.83296,450.1894624233246,1944.0481550693512,0.7775,11181642,0.01,32,0.9,0.001,[False]
4,1,5,0.38204415131092073,0.86954,451.9900555610657,2434.763641357422,0.7795,11181642,0.01,32,0.9,0.001,[False]
5,1,6,0.3090958413171768,0.89486,519.4523549079895,2990.3633501529694,0.7782,11181642,0.01,32,0.9,0.001,[False]
6,1,7,0.26141919402599334,0.90966,476.475679397583,3508.487641096115,0.8022,11181642,0.01,32,0.9,0.001,[False]
7,1,8,0.21900277340888977,0.92484,469.45556473731995,4020.332836151123,0.8029,11181642,0.01,32,0.9,0.001,[False]
8,1,9,0.19052513193607332,0.93504,469.138165473938,4606.540946483612,0.7991,11181642,0.01,32,0.9,0.001,[False]
9,1,10,0.17345463163375854,0.94232,751.02117395401,5481.917436361313,0.8044,11181642,0.01,32,0.9,0.001,[False]
10,1,11,0.1673463711500168,0.94348,464.685595035553,6001.7091562747955,0.8039,11181642,0.01,32,0.9,0.001,[False]
11,1,12,0.15993148416996003,0.9464,464.1755516529083,6516.949149131775,0.8051,11181642,0.01,32,0.9,0.001,[False]
12,1,13,0.1515240135335922,0.95006,463.70943427085876,7031.430027723312,0.8123,11181642,0.01,32,0.9,0.001,[False]
13,1,14,0.14589482221603395,0.95126,464.4098126888275,7546.744637489319,0.8121,11181642,0.01,32,0.9,0.001,[False]
14,1,15,0.14173760521888734,0.95308,461.7823963165283,8059.332733154297,0.799,11181642,0.01,32,0.9,0.001,[False]
15,1,16,0.13790601432561875,0.95486,460.90068769454956,8571.05163693428,0.7971,11181642,0.01,32,0.9,0.001,[False]
16,1,17,0.12636537209987642,0.95898,461.32482171058655,9083.178982496262,0.7864,11181642,0.01,32,0.9,0.001,[False]
17,1,18,0.1317439349937439,0.95706,460.5315217971802,9594.404905319214,0.8136,11181642,0.01,32,0.9,0.001,[False]
18,1,19,0.12327664407730103,0.96034,461.47139525413513,10106.39983177185,0.8088,11181642,0.01,32,0.9,0.001,[False]
19,1,20,0.13000052040576934,0.9577,461.2268588542938,10618.32584142685,0.8103,11181642,0.01,32,0.9,0.001,[False]
